0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5,21,10,22,4,9,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,2,4,5,0,5,4,16,6,15,4,10,1,7,1,8,2,12,5,12,52,157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,6,0,2,0,16
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,4,5,1,1,0,1,1,1,1,1,18,20
0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,8,0,3,0,0,0,3,0,0,0,1,0,1,0,6,1,5,0,0,0,1,0,0,0,2,0,3,0,3,1,52
19,30,18,30,23,40,11,14,12,30,7,14,9,17,13,27,16,22,6,11,2,6,8,14,6,9,1,3,3,3,3,6,0,0,7,8,16,24,25,47,21,36,13,35,19,42,22,51,280,519
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,4,2,4,2,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,4,1,3,2,2,4,5,6,7,2,5,2,2,1,1,1,1,0,1,3,4,2,2,1,2,37,53
8,40,1,7,0,0,0,0,0,0,0,2,15,67,36,110,33,175,21,98,11,39,9,26,5,23,0,5,4,17,24,32,7,17,3,21,3,29,9,70,5,32,10,35,30,123,23,110,257,1078
1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3,5,5,11,10,22,9,22,6,12,9,12,7,14,11,17,6,12,6,13,7,20,4,10,0,0,0,0,1,1,0,0,87,176
0,2,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,4,0,8,0,10,0,8,0,2,0,7,0,0,0,4,0,17,0,31,0,20,0,9,0,143
0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,5,0,3,0,8,0,12,0,3,0,8,0,10,0,1,0,9,0,1,0,1,0,2,0,6,0,3,0,16,0,8,0,4,0,107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,7,0,4,0,5,0,4,0,7,0,1,0,4,0,6,0,1,0,3,0,2,0,2,0,2,0,1,0,2,0,1,0,69
0,2,0,1,0,6,0,4,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,3,0,0,1,2,0,5,0,1,0,8,0,4,1,53
0,1,0,0,0,0,0,0,0,1,3,6,4,9,7,15,7,10,8,14,4,8,8,15,5,7,4,10,6,11,5,11,3,5,2,7,0,2,5,10,2,5,0,1,0,1,0,3,73,152
0,0,0,0,0,1,0,0,1,1,0,2,0,3,1,9,1,9,0,3,0,0,1,1,0,0,0,0,1,4,1,3,0,0,0,3,0,0,0,0,1,3,0,1,0,4,0,0,7,47
15,54,12,43,7,32,5,24,1,13,0,5,0,3,1,8,0,4,0,3,1,5,2,18,6,18,6,19,2,19,5,31,6,20,8,34,10,44,7,48,8,46,13,52,4,38,5,35,124,616
2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,8
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,11,2,10,10,16,16,23,11,21,13,35,7,31,14,34,11,24,8,20,4,10,1,1,104,244
2,5,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,13,12,36,9,31,5,15,8,32,9,34,9,34,7,26,7,31,4,17,11,24,3,12,8,17,3,24,2,3,105,358
38,127,21,91,31,78,31,100,28,75,13,55,15,32,3,27,11,24,9,35,13,47,11,46,8,28,9,33,18,63,12,65,19,56,23,87,17,50,18,63,11,47,16,58,15,82,26,121,416,1490
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,2,3,1,3,1,1,3,5,2,3,1,3,0,2,2,2,2,4,5,7,1,3,2,5,0,1,25,50
0,5,1,3,0,0,1,1,0,0,0,0,0,1,0,2,1,2,1,4,1,8,2,4,1,4,0,3,0,3,1,4,2,7,0,7,1,7,0,14,2,8,0,3,0,1,0,2,14,93
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,7,0,6,1,9,1,6,2,5,0,4,0,3,0,4,1,1,0,2,0,2,0,0,0,0,0,0,7,60
0,1,0,1,0,2,0,0,0,0,0,0,0,1,3,7,6,20,10,40,13,48,19,61,23,70,21,65,22,58,19,64,18,63,12,44,8,27,0,16,19,30,5,18,0,4,0,1,198,641
1,7,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,13,3,19,9,36,6,28,7,25,7,21,4,13,8,33,6,41,4,27,2,12,6,15,0,9,1,11,3,13,72,331
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,6,1,12,3,23,3,13,3,12,2,10,1,11,6,15,3,11,1,17,4,13,4,11,3,19,5,16,1,13,2,13,42,220
121,343,66,172,24,82,7,18,0,1,0,0,0,0,0,1,1,16,10,58,39,184,71,368,154,562,221,698,238,740,241,772,303,811,251,778,294,819,276,725,243,602,163,448,156,447,144,394,3023,9039
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,3,1,11,7,40,3,27,3,41,7,51,5,43,6,50,4,48,2,32,3,26,2,11,5,36,3,25,2,17,1,10,55,475
1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,6,2,15,1,19,10,35,6,28,8,38,3,20,2,13,2,13,5,15,1,15,3,14,0,7,2,17,2,14,2,9,51,285
1,8,1,1,0,0,0,0,0,0,0,0,1,6,0,9,0,6,2,12,1,13,0,10,1,14,1,14,1,10,0,8,2,10,1,12,1,3,2,12,1,22,1,25,1,29,2,13,20,237
34,187,27,155,8,76,5,50,7,26,1,9,0,3,0,12,4,17,5,29,3,36,8,78,11,96,11,84,9,82,16,92,22,117,11,80,23,118,17,127,21,134,24,182,22,165,25,180,314,2135
171,881,87,337,21,82,14,47,2,17,1,37,6,54,12,91,22,170,39,349,102,556,127,694,119,837,128,807,116,685,99,749,123,697,97,780,89,579,74,487,90,598,131,717,161,921,177,992,2008,12164
425,1733,248,885,121,416,76,265,52,173,27,139,50,215,78,347,106,514,131,767,230,1152,315,1527,378,1854,453,1958,472,1888,493,2047,555,2000,464,2090,502,1879,485,1772,459,1722,407,1750,429,2014,442,1990,7398,31097
